SlNo,Name,CustID,Number of Credit Cards,Age,Gender,MaritalStatus,AnnualSalary,MonthlyCCUsage
1,Genevieve,100398,3,66,F,Married,"3,74,319",Low (<25%)
2,Esmeralda,101584,3,56,F,Divorced,"7,28,564",Low (<25%)
3,Henry,101744,2,19,M,Never Married,"7,67,877",Low (<25%)
4,Brayden,101860,4,44,F,Married,"63,273",Low (<25%)
5,Jaylon,102751,3,41,M,Married,"5,35,637",Low (<25%)
6,Adrianna,102857,5,23,M,Never Married,"9,72,688",Low (<25%)
7,Alexus,103033,5,58,F,Divorced,"3,83,683",Low (<25%)
8,Ingrid,103040,1,52,F,Divorced,"5,57,055",Low (<25%)
9,Jocelyn,103061,3,68,F,Never Married,"5,36,587",Low (<25%)
10,Cedric,103195,5,36,M,Married,"4,41,968",Low (<25%)
11,Johana,103551,7,65,M,Married,"6,97,397",Low (<25%)
12,Gunner,103576,7,43,F,Married,"7,59,883",Low (<25%)
13,Carson,104238,4,65,F,Divorced,"1,30,208",Low (<25%)
14,Jessie,104716,5,44,M,Married,"3,95,786",Low (<25%)
15,Belen,104878,3,23,M,Married,"6,51,345",Low (<25%)
16,Cortez,104900,5,50,F,Married,"9,35,316",Low (<25%)
17,Brenton,105249,4,34,M,Married,"1,35,438",Low (<25%)
18,Cale,105634,4,54,F,Never Married,"6,80,898",Low (<25%)
19,Alexander,106165,9,69,F,Married,"4,63,322",Low (<25%)
20,Julianna,106193,7,65,F,Divorced,"7,41,314",Low (<25%)
21,Jacey,106459,3,58,M,Never Married,"1,32,090",Low (<25%)
22,Dexter,106726,10,64,F,Never Married,"1,15,787",Low (<25%)
23,Jacquelyn,107170,4,42,M,Married,"9,83,927",Low (<25%)
24,Benny,107411,5,55,M,Divorced,"4,43,805",Low (<25%)
25,Darion,107862,5,40,F,Never Married,"4,81,501",Low (<25%)
26,Justin,108484,4,24,F,Married,"5,71,295",Low (<25%)
27,Ethen,108530,1,31,F,Married,"6,93,548",Low (<25%)
28,Chelsea,109020,4,57,M,Divorced,"7,36,563",Low (<25%)
29,Aidan,109152,5,23,M,Married,"76,171",Low (<25%)
30,Daniel,109390,7,62,F,Married,"8,01,886",Low (<25%)
31,Alayna,109694,4,33,M,Married,"3,20,583",Low (<25%)
32,Alfred,109704,5,58,F,Married,"7,58,045",Low (<25%)
33,Genesis,110550,4,70,M,Never Married,"7,89,478",Low (<25%)
34,Aiden,111992,5,51,F,Never Married,"2,54,312",Low (<25%)
35,Greyson,112448,6,45,M,Married,"2,96,518",Low (<25%)
36,Jimena,112605,2,70,M,Never Married,"5,02,577",Low (<25%)
37,Angelo,113060,3,64,M,Married,"8,69,488",Low (<25%)
38,Donovan,113094,3,47,M,Married,"7,72,987",Low (<25%)
39,Brayden,113109,4,26,M,Divorced,"9,26,324",Low (<25%)
40,Humberto,113160,4,68,F,Married,"9,80,353",Low (<25%)
41,Jaden,113424,6,30,M,Married,"7,79,569",Low (<25%)
42,Emmanuel,113934,4,24,M,Never Married,"2,50,193",Low (<25%)
43,Brennen,113974,5,53,M,Married,"3,46,237",Low (<25%)
44,Brooke,114449,1,21,M,Married,"8,31,856",Low (<25%)
45,Edith,114544,4,70,M,Married,"5,46,954",Low (<25%)
46,Cristina,115401,5,55,M,Divorced,"6,59,155",Low (<25%)
47,Braiden,115785,4,30,F,Married,"4,82,857",Low (<25%)
48,Chance,115793,5,38,M,Divorced,"9,27,844",Low (<25%)
49,Abigail,115876,6,36,M,Married,"3,20,716",Low (<25%)
50,Helena,115998,3,24,M,Divorced,"2,79,498",Low (<25%)
51,Jimena,116116,5,19,F,Divorced,"8,58,489",Low (<25%)
52,Beatriz,116281,4,38,F,Married,"1,90,682",Low (<25%)
53,Deshawn,116552,6,46,M,Divorced,"5,06,076",Low (<25%)
54,Haleigh,116588,5,26,M,Married,"8,03,779",Low (<25%)
55,Jamal,116874,4,45,F,Married,"3,50,242",Low (<25%)
56,Adolfo,117048,7,19,M,Married,"3,58,108",Low (<25%)
57,Jaylyn,117174,6,50,M,Married,"8,21,373",Low (<25%)
58,Jarrod,118159,5,69,F,Never Married,"8,07,412",Low (<25%)
59,Destiny,118284,4,24,F,Married,"9,15,056",Low (<25%)
60,Caiden,118366,6,37,M,Married,"7,26,593",Low (<25%)
61,Cynthia,118397,4,41,M,Divorced,"2,71,667",Low (<25%)
62,Genevieve,118443,1,63,M,Never Married,"4,44,406",Low (<25%)
63,Brendan,118846,7,43,F,Never Married,"2,21,331",Low (<25%)
64,Jadyn,118899,5,22,M,Never Married,"7,83,102",Low (<25%)
65,Evan,119168,10,44,M,Married,"4,36,827",Low (<25%)
66,Janice,119248,7,37,F,Divorced,"7,14,028",Low (<25%)
67,Adam,119471,3,62,M,Married,"6,90,044",Low (<25%)
68,Alvaro,119877,10,37,M,Never Married,"2,94,448",Low (<25%)
69,Isabella,119879,1,66,F,Divorced,"7,16,898",Low (<25%)
70,Jamari,120335,2,24,M,Married,"8,20,513",Low (<25%)
71,Deanna,120428,5,34,F,Married,"58,354",Low (<25%)
72,Alexis,120471,5,44,F,Married,"7,45,423",Low (<25%)
73,Jonathon,120483,4,52,M,Never Married,"3,30,472",Low (<25%)
74,Darian,120539,4,45,M,Married,"7,98,816",Low (<25%)
75,Ainsley,120765,5,29,F,Married,"3,73,657",Low (<25%)
76,Arthur,121013,10,43,F,Never Married,"4,14,174",Low (<25%)
77,Dennis,122208,5,49,M,Married,"2,90,123",Low (<25%)
78,Deasia,122255,7,29,F,Married,"4,35,153",Low (<25%)
79,Blaise,122322,3,59,M,Never Married,"5,67,499",Low (<25%)
80,Johnathan,122514,2,22,M,Never Married,"8,15,990",Low (<25%)
81,Brenton,122683,6,44,M,Never Married,"1,46,417",Low (<25%)
82,Joey ,122759,3,26,F,Married,"3,23,233",Low (<25%)
83,Brandi,122888,7,64,F,Married,"4,96,677",Low (<25%)
84,Alexandra,123395,1,33,M,Married,"9,05,511",Low (<25%)
85,Grady,123453,3,61,M,Married,"9,41,205",Low (<25%)
86,Delilah,123880,8,59,M,Never Married,"1,89,798",Low (<25%)
87,Christian,123900,1,68,F,Never Married,"1,75,843",Low (<25%)
88,Jaiden,124002,4,55,M,Divorced,"3,95,679",Low (<25%)
89,Janie,124022,7,43,M,Never Married,"2,32,870",Low (<25%)
90,Janelle,124046,4,66,F,Divorced,"7,48,682",Low (<25%)
91,Jovani,124492,3,67,M,Divorced,"3,21,099",Low (<25%)
92,Jaclyn,124617,2,70,F,Married,"9,95,061",Low (<25%)
93,Bryant,125051,7,59,M,Never Married,"5,21,112",Low (<25%)
94,Armando,125120,6,35,M,Married,"2,79,628",Low (<25%)
95,Aaliyah,125294,3,38,M,Divorced,"4,59,486",Low (<25%)
96,Jadyn,125487,4,28,M,Never Married,"6,43,437",Low (<25%)
97,Jaron,125592,5,70,F,Married,"7,22,103",Low (<25%)
98,Forrest,125866,6,40,M,Married,"9,04,922",Low (<25%)
99,Dylon,126379,5,52,M,Never Married,"7,76,667",Low (<25%)
100,Braulio,126595,7,32,M,Married,"3,74,517",Low (<25%)
101,Andrew,126656,3,41,M,Married,"1,75,951",Low (<25%)
102,Brionna,127025,8,27,M,Never Married,"3,85,055",Low (<25%)
103,Juliet,127064,3,38,M,Divorced,"5,91,811",Low (<25%)
104,Johnathon,127438,9,43,F,Never Married,"8,22,648",Low (<25%)
105,Caroline,128112,4,65,M,Married,"9,27,331",Low (<25%)
106,Jayde,128658,4,31,F,Never Married,"6,75,965",Low (<25%)
107,Jaron,129111,2,35,F,Never Married,"4,86,286",Low (<25%)
108,Esther,129127,6,51,M,Married,"1,17,718",Low (<25%)
109,Jade,129502,7,24,F,Married,"4,13,176",Low (<25%)
110,Chelsey,129613,9,54,M,Married,"9,19,700",Low (<25%)
111,Jonathon,130148,8,56,M,Married,"9,92,356",Low (<25%)
112,Gino,130560,3,28,M,Never Married,"5,39,853",Low (<25%)
113,Abram,130725,6,31,F,Never Married,"5,17,042",Low (<25%)
114,Ezekiel,131208,2,21,M,Never Married,"1,83,578",Low (<25%)
115,Isaiah,131441,3,65,M,Married,"8,80,893",Low (<25%)
116,Abigayle,131529,3,18,M,Married,"4,61,306",Low (<25%)
117,Jayla,131936,10,26,M,Married,"9,51,605",Low (<25%)
118,Janice,131977,4,19,F,Married,"7,50,439",Low (<25%)
119,Clark,132208,3,23,M,Married,"3,99,724",Low (<25%)
120,Graciela,132524,3,24,M,Married,"6,19,949",Low (<25%)
121,Bailey,132831,5,60,M,Married,"8,01,604",Low (<25%)
122,Hugh,133007,5,53,M,Married,"6,54,096",Low (<25%)
123,Garret,133341,9,32,F,Divorced,"3,91,385",Low (<25%)
124,Dasia,134167,4,26,M,Never Married,"3,46,075",Low (<25%)
125,Bryana,134370,7,23,F,Married,"1,53,081",Low (<25%)
126,Genevieve,135163,7,28,F,Married,"59,120",Low (<25%)
127,Jacquelyn,135684,3,24,F,Married,"7,87,812",Low (<25%)
128,Hayden,135915,5,40,F,Married,"60,494",Low (<25%)
129,Esmeralda,136077,5,31,F,Married,"5,40,782",Low (<25%)
130,Journey,136238,6,58,M,Never Married,"1,30,517",Low (<25%)
131,Gage,136387,1,59,M,Never Married,"6,11,656",Low (<25%)
132,Ciara,136411,3,51,F,Married,"4,77,462",Low (<25%)
133,Galilea,136662,2,55,M,Never Married,"8,02,182",Low (<25%)
134,Alana,137262,4,36,M,Married,"1,79,715",Low (<25%)
135,Jackeline,137280,5,69,F,Never Married,"3,49,499",Low (<25%)
136,Cayla,137807,2,28,F,Married,"3,46,022",Low (<25%)
137,Ivan,138342,7,18,M,Never Married,"5,44,202",Low (<25%)
138,Anthony,138362,7,49,M,Never Married,"9,80,992",Low (<25%)
139,Britney,138728,10,36,F,Married,"72,185",Low (<25%)
140,Bradyn,138991,4,27,F,Divorced,"3,19,352",Low (<25%)
141,Frances,139186,6,37,F,Never Married,"7,79,614",Low (<25%)
142,Gonzalo,139731,5,61,M,Married,"2,24,586",Low (<25%)
143,Antonio,139865,5,35,F,Never Married,"6,97,756",Low (<25%)
144,Celine,139971,1,60,M,Married,"9,29,975",Low (<25%)
145,Jeanette,140410,3,24,M,Married,"4,66,912",Low (<25%)
146,Catherine,140668,2,39,F,Married,"1,32,703",Low (<25%)
147,Britney,141371,4,66,M,Never Married,"2,31,644",Low (<25%)
148,Christian,141641,6,31,M,Married,"3,80,936",Low (<25%)
149,Jaylene,141898,2,55,F,Never Married,"8,62,627",Low (<25%)
150,Emmett,142092,4,45,M,Never Married,"4,20,430",Low (<25%)
151,Demetrius,142277,2,50,M,Married,"6,27,239",Low (<25%)
152,Jayde,142769,5,61,M,Never Married,"7,50,106",Low (<25%)
153,Cindy,143293,5,22,M,Never Married,"3,37,164",Low (<25%)
154,Dominique,143473,5,64,M,Never Married,"5,26,140",Low (<25%)
155,Dillan,143596,4,52,M,Never Married,"9,80,402",Low (<25%)
156,Bernard,144393,10,66,M,Married,"7,42,830",Low (<25%)
157,Joyce,144439,4,26,M,Married,"8,87,631",Low (<25%)
158,Imani,144461,6,61,M,Never Married,"84,808",Low (<25%)
159,Eliana,145701,3,68,F,Married,"7,76,378",Low (<25%)
160,Brooke,145938,2,18,M,Married,"7,80,106",Low (<25%)
161,Jayce,145999,2,65,M,Married,"7,38,335",Low (<25%)
162,Joseph,146069,4,31,M,Married,"8,69,087",Low (<25%)
163,Josef,146614,3,33,M,Married,"8,34,352",Low (<25%)
164,Dulce,146643,5,55,F,Married,"4,06,284",Low (<25%)
165,Ismael,146649,5,63,M,Never Married,"5,90,442",Low (<25%)
166,Brodie,146782,3,32,M,Married,"6,32,882",Low (<25%)
167,Jordy,146973,7,62,F,Never Married,"9,69,600",Low (<25%)
168,Clark,147203,3,41,M,Married,"9,33,499",Low (<25%)
169,Bailee,147691,7,50,M,Married,"5,89,775",Low (<25%)
170,Adrianna,147970,4,51,M,Married,"1,34,108",Low (<25%)
171,Devyn,148760,3,60,F,Married,"8,98,255",Low (<25%)
172,Chasity,148980,4,48,F,Married,"2,59,330",Low (<25%)
173,Ari,149371,3,66,M,Divorced,"7,13,521",Low (<25%)
174,Brett,149656,3,28,M,Married,"7,74,679",Low (<25%)
175,Adolfo,149728,5,69,F,Never Married,"59,933",Low (<25%)
176,Deangelo,150449,5,44,F,Never Married,"6,87,891",Low (<25%)
177,Aden,151382,6,64,M,Never Married,"6,45,259",Low (<25%)
178,Duncan,151879,5,35,M,Never Married,"8,36,011",Low (<25%)
179,Harrison,152302,9,23,M,Married,"6,59,078",Low (<25%)
180,Darwin,152506,5,49,M,Married,"8,00,892",Low (<25%)
181,Iris,152750,3,63,M,Married,"8,94,926",Low (<25%)
182,Braulio,152989,7,40,M,Never Married,"1,84,351",Low (<25%)
183,Jovan,153440,3,68,F,Married,"9,52,498",Low (<25%)
184,Alden,153681,10,53,M,Divorced,"1,52,182",Low (<25%)
185,German,153778,4,46,F,Married,"5,75,507",Low (<25%)
186,Brayan,153874,5,31,F,Divorced,"8,14,674",Low (<25%)
187,Breonna,154049,4,38,M,Married,"9,16,004",Low (<25%)
188,Alice,154204,3,21,M,Married,"7,13,652",Low (<25%)
189,Berenice,154816,5,31,M,Married,"4,16,364",Low (<25%)
190,Dwayne,155246,7,36,M,Never Married,"2,73,914",Low (<25%)
191,Cooper,155580,9,35,M,Never Married,"3,13,092",Low (<25%)
192,Duncan,156310,3,24,M,Never Married,"3,39,024",Low (<25%)
193,Jesus,156436,9,42,F,Married,"4,84,430",Low (<25%)
194,Brady,157050,2,26,M,Never Married,"3,79,850",Low (<25%)
195,Allen,157513,3,53,M,Never Married,"9,90,091",Low (<25%)
196,Justyn,157637,4,35,M,Married,"1,40,400",Low (<25%)
197,Gianna,157701,9,64,F,Married,"5,26,551",Low (<25%)
198,Ignacio,157902,3,27,M,Married,"8,59,462",Low (<25%)
199,Christina,159010,4,60,M,Divorced,"4,60,251",Low (<25%)
200,Brooks,159228,9,24,F,Married,"7,87,966",Low (<25%)
201,Ella,159944,3,34,M,Never Married,"3,46,942",Low (<25%)
202,Eliezer,159986,3,23,F,Married,"1,14,746",Low (<25%)
203,Adrienne,160211,4,32,M,Married,"1,74,322",Low (<25%)
204,Carlton,160591,3,44,M,Divorced,"9,57,871",Low (<25%)
205,Estefani,160677,3,50,F,Married,"5,05,097",Low (<25%)
206,Clarissa,160993,3,66,M,Never Married,"8,35,273",Low (<25%)
207,Cassie,161086,3,33,M,Divorced,"1,91,550",Low (<25%)
208,Freddie,161127,4,42,F,Married,"8,89,753",Low (<25%)
209,Anthony,161315,5,24,F,Never Married,"3,00,802",Low (<25%)
210,Jared,161442,4,63,F,Married,"1,42,987",Low (<25%)
211,Jaquez,161867,1,65,F,Never Married,"9,50,034",Low (<25%)
212,Fabian,162123,6,45,M,Married,"9,43,244",Low (<25%)
213,Ciara,162454,5,44,M,Married,"73,313",Low (<25%)
214,Dasia,162985,7,37,M,Married,"6,45,036",Low (<25%)
215,Hugh,163639,2,29,M,Divorced,"8,08,519",Low (<25%)
216,Byron,163678,5,55,F,Married,"4,43,830",Low (<25%)
217,Adrian,163801,5,53,M,Married,"7,56,125",Low (<25%)
218,Alberto,164178,4,56,F,Married,"3,31,893",Low (<25%)
219,Carolyn,164208,7,28,M,Married,"4,88,692",Low (<25%)
220,Alonzo,164538,4,53,M,Never Married,"4,40,837",Low (<25%)
